FrameId,FrameName,SpanishLexicalUnits,PortugueseLexicalUnits,FrenchLexicalUnits,EnglishLexicalUnits,FrameElements,Definition,LinkToBFN,Link,MatchEvaluation,FrameRelation
908,Abandonment,"abandonado.a
abandonar.v
abandono.n
dejar.v
olvidar.n","abandonado.a
abandonar.v
abandono.n
botar de lado.v
deixar quieto.v
deixar.v
esquecer.v
esquecido.a
negligenciar.v",laisser.v,"abandon.v
abandoned.a
abandonment.n
forget.v
leave.v
neglect.v","Agent
Theme",An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property.,Abandonment,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/908,ExactMatch,
237,Abounding_with,,"abarrotado.a
abundante.a
adornado.a
aglomerado.a
aglomerar.v
amanteigado.a
amontoado.a
asfaltado.a
aspergido.a
bombar.v
borrifado.a
cheio.a
coberto.a
decorado.a
desarrumado.a
dourado.a
drapeado.a
embelezado.a
emperrado.a
empilhado.a
empoeirado.a
encapotado.a
encasacado.a
encoberto.a
enfeitado.a
engatinhar.v
enriquecer.v
envernizado.a
escovado.a
esmaltado.a
espalhado.a
esparso.a
forrado.a
inesgotável.a
injetado.a
lacado.a
ladrilhado.a
lotado.a
manchado.a
ornamentado.a
pavimentado.a
pendurado.a
pintado.a
pleno.a
polvilhado.a
pontilhado.a
populacional.a
populoso.a
preenchido.a
proliferar.v
rastejante.a
rebocado.a
recheado.a
regado.a
repleto.a
respingado.a
salpicado.a
superlotado.a",bondé.a,"adorned.a
asphalted.a
bedecked.a
bejewelled.a
bespattered.a
blanketed.a
brimming.a
brushed.a
buttered.a
chock-a-block.a
chock-full.a
cloaked.a
coated.a
covered.a
crammed.a
crawl.v
crawling.a
crowded.a
dabbed.a
decked.a
decorated.a
dotted.a
draped.a
drizzled.a
dusted.a
embellished.a
festooned.a
filled.a
full.a
gilded.a
glazed.a
heaped.a
hung.a
injected.a
jammed.a
jostling.a
lacquered.a
lined.a
littered.a
ornamented.a
overcrowded.a
overfilled.a
painted.a
panelled.a
paved.a
piled.a
plastered.a
replete.a
rife.a
smeared.a
spattered.a
splattered.a
sprinkled.a
strewn.a
studded.a
stuffed.a
surfaced.a
swarm.v
swarming.a
teem.v
teeming.a
throng.v
thronged.a
thronging.a
tiled.a
varnished.a
wallpapered.a","Location
Theme","A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of.",Abounding_with,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/237,ExactMatch,
469,Absorb_heat,,"assar.v
borbulha.n
branquear.v
cozinhar.v
dourar.v
ferventar.v
ferver.v
fritar.v
grelhar.v
refogar.v",,"bake.v
barbecue.v
blanch.v
boil.v
braise.v
broil.v
brown.v
char.v
coddle.v
cook.v
deep fry.v
fry.v
grill.v
parboil.v
poach.v
roast.v
saute.v
scorch.v
sear.v
simmer.v
singe.v
sizzle.v
steam.v
stew.v
toast.v","Container
Entity
Heat_source","An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process.",Absorb_heat,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/469,ExactMatch,
721,Abundance,"abundante.a
abundar.v
rico.a","abundante.a
abundar.v
farto.a
pleno.a
rico.a
vazio.a",,"abound.v
abundant.a
galore.a
rich.a
teem.v","Collection
Place
Quantity",The Quantity of a Collection occurring in a Place has a particular Measure. The Measure of the Collection is referred to only in terms of how the Measure diverges from a norm for Collections of the specified type. Degree may further refine the relation of the Measure to the norm.,Abundance,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/721,ExactMatch,
404,Abusing,,"abalar.v
abusar.v
abusivo.a
abuso.n
alienação parental.n
ameaçado.a
assediar.v
controlar.v
exploração sexual.n
manipulação.n
maus-tratos.n
perseguir.v",,"abuse.n
abuse.v
abusive.a
batter.v
domestic violence.n
maltreat.v
maltreatment.n","Abuser
Victim","In this frame an Abuser repeatedly treats the Victim in a cruel and violent way, including physically harming or forcing the Victim to engage in sexual activity against their will. The Victim usually lacks the power to resist or fight back. A Type of abuse may be indicated. There may also be a Degree. Her father verbally abused her mother.",Abusing,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/404,ExactMatch,
827,Access_scenario,,,,,"Barrier Theme        
Useful_location        ",A Theme is or is not capable of entering or accessing a Useful_location because of/despite a Barrier.,Access_scenario,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/827,ExactMatch,
1258,Accident,,acidente.n,,"accident.n
crash.n
mishap.n
mishappening.n
wreck.n","Accident
Victim",Este frame é usado para descrever eventos inesperados que podem causar algum tipo de dano.,?,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1258,NoMatch,
1488,Accident_description,,elétrico.a,,,"Accident
Description


",,?,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1488,NoMatch,
1220,Accommodation,"acampada.n
albergue.n
alojamiento.n
apartamento.n
bed and breakfast.n
bungaló.n
bungalo.n
bungalow.n
cambuche.n
campamento.n
camping.n
casa de vacaciones.n
casa.n
chácara.n
chalé.n
complejo de edificios.n
complejo de viviendas.n
complejo hotelero.n
condominio.n
departamento.n
edificio de apartamentos.n
granja.n
hospedaje estudiantil.n
hostal.n
hostelería.n
hotel del amor.n
hotel rural.n
hotel.n
huésped.n
lugar de acampada.n
motel.n
pensión.n
piso.n
posada.n
posadero.n
rancho.n
resort.n
vivac.n","acampamento.n
acomodação.n
albergue.n
alojamento.n
apart-hotel.n
apartamento.n
bangalô.n
cafofo.n
camping.n
casa de férias.n
casa.n
chácara.n
chalé.n
complexo de condomínio.n
complexo residencial.n
estância.n
granja.n
hospedagem domiciliar.n
hospedagem.n
hóspede.n
hostel.n
hotel fazenda.n
hotel.n
hotelaria.n
motel.n
pensão.n
pousada.n
rancho.n
resort.n
sítio.n","abitation.n
appartement.n
auberge.n
auberges de jeunesse.n
chalet.n
chambre de hôtes.n
cottage.n
emplacement de camping.n
ferme.n
hébergement.n
hôtel.n
hôtellerie.n
lieu de vacances.n
maison.n
motel.n
pension.n
résidence secondaire.n
station balnéaire.n","accommodation.n
apartment building.n
auberge.n
B&B.n
bed and breakfast.n
bungalow.n
campground.n
camping area.n
camping.n
chacra.n
condominium complex.n
countryside hotel.n
encampment.n
guest house.n
guest.n
guesthouse.n
hostel.n
hostelry.n
hotel management.n
hotel.n
inn.n
lodge.n
lodging.n
love hotel.n
motel.n
ranch.n
resort hotel.n
resort.n
saloon.n
smallholding.n
tavern.n
townhouse complex.n
vacation property.n",Lodge,It describes commercial establishments that offer accommodation services to tourists. Usually the establishments are classified according to their type and/or their quality.,,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/1220,NoMatch,
233,Accompaniment,,"a sós.idio
acompanhar.v
anexo.a
com.adv
com.c
com.prep
companhia.n
desacompanhar.v
individual.a
juntar.v
junto.a
só.a
sozinho.a
unido.a",,"accompany.v
alone.a
along with.prep
in combination.prep
individual.a
singly.adv
together.adv
with.prep","Co-participant
Participant
Participants",A Co-participant fills the same role as the Participant in an event or relation.,Accompaniment,https://webtool.framenetbr.ufjf.br/index.php/webtool/report/frame/showFrame/233,ExactMatch,
