MultilingualFrameId,FrameName,SweFN_FrameId,SweFN_MatchEvaluation,BrasilFN_FrameId,BrasilFN_MatchEvaluation,DiCoEnviro_FrameId,DiCoEnviro_MatchEvaluation,BFN_FrameId,BFN_MatchEvaluation,GFOL_FrameId,GFOL_MatchEvaluation,DiCoInfo_FrameId,DiCoInfo_MatchEvaluation,GermanFN_FrameId,GermanFN_MatchEvaluation,SpanishFN_FrameId,SpanishFN_MatchEvaluation
1,Abandonment,589,ExactMatch,908,ExactMatch,,,2031,ExactMatch,,,,,510,ExactMatch,,
2,Ablenkung_Bildschema,,,,,,,,,,,,,2033,ExactMatch,,
3,Abounding_with,603,ExactMatch,237,ExactMatch,,,262,ExactMatch,,,,,743,ExactMatch,0,ExactMatch
4,Absorb_heat,628,ExactMatch,469,ExactMatch,,,830,ExactMatch,,,,,1177,ExactMatch,,
5,Abundance,627,ExactMatch,721,ExactMatch,0,WeakMatch,1602,ExactMatch,,,,,283,ExactMatch,,
6,Abusing,626,ExactMatch,404,ExactMatch,,,482,ExactMatch,,,,,1075,ExactMatch,,
7,Access_scenario,625,ExactMatch,827,ExactMatch,,,1871,ExactMatch,,,0,WeakMatch,413,ExactMatch,,
8,Accident,,,1258,ExactMatch,,,,,,,,,,,,
9,Accident_description,,,1488,ExactMatch,,,,,,,,,,,,
10,Accommodation,,,1220,ExactMatch,,,,,,,,,,,,
11,Accompaniment,910,ExactMatch,233,ExactMatch,,,258,ExactMatch,,,,,717,ExactMatch,,
12,Accomplishment,623,ExactMatch,675,ExactMatch,,,1519,ExactMatch,,,,,227,ExactMatch,,
13,Accoutrements,622,ExactMatch,144,ExactMatch,,,158,ExactMatch,,,,,266,ExactMatch,,
14,Accumulating,,,,,1,ExactMatch,,,,,,,,,,
15,Accuracy,621,ExactMatch,845,ExactMatch,,,1903,ExactMatch,,,,,434,ExactMatch,,
16,Achieving_first,1077,ExactMatch,372,ExactMatch,,,403,ExactMatch,,,,,1036,ExactMatch,1,ExactMatch
17,Active_substance,619,ExactMatch,612,ExactMatch,,,1322,ExactMatch,,,,,147,ExactMatch,,
18,Activity,588,ExactMatch,113,ExactMatch,,,124,ExactMatch,,,,,119,ExactMatch,2,ExactMatch
19,Activity_abandoned_state,587,ExactMatch,152,ExactMatch,,,168,ExactMatch,,,,,333,ExactMatch,3,ExactMatch
20,Activity_done_state,309,ExactMatch,164,ExactMatch,,,182,ExactMatch,,,,,396,ExactMatch,,
21,Activity_finish,585,ExactMatch,149,ExactMatch,,,165,ExactMatch,,,,,315,ExactMatch,,
22,Activity_learning,,,1496,ExactMatch,,,,,,,,,,,,
