lu,lang,swefn_lu_id,gfol_lu_id,dicoenviro_lu_id,dicoinfo_lu_id,germanfn_lu_id,brasilfn_lu_id,spanishfn_lu_id,bfn_lu_id
(can't) help,en,,,,,,28482,,16601
(in/out of) line,en,,,,,,8914,,14632
(one's) name,en,,,,,,13866,,
(them's) the breaks,en,,,,,,10687,,
a bastard,en,,,,,,10797,,7755
a bit,en,,,,,,15876 26793,,18194 13797
a bitch,en,,,,,,10798,,6578
a breeze,en,,,,,,10799,,6574
[aucune]personne,fr,,,,,,23865,,
a cinch,en,,,,,,10800,,7754
a doddle,en,,,,,,10801,,14004
a few,en,,,,,,26794,,13370
a good,en,,,,,,26602,,14274
a little,en,,,,,,26795 26603 9975,,14743 14733
a little bit,en,,,,,,9974,,14744
a lot,en,,,,,,26796 9976,,17659 13232
a maximum of,en,,,,,,26604,,
a pain,en,,,,,,10803,,6575
a pain in the neck,en,,,,,,10802,,6603
a piece of cake,en,,,,,,10804,,6831
a snap,en,,,,,,10805,,6581
a thing of the past,en,,,,,,23339,,15182
a walk in the park,en,,,,,,10806,,18043
a while,en,,,,,,20341,,14571
abandon,en,,,,,,26960 670 15,,14839 13410 12918
abandoned,en,,,,,,16,,14843
abandonment,en,,,,,,17,,14842
abash,en,,,,,,30968,,4292
abashed,en,,,,,,12247,,7141
abate,en,,,252,,,,,
abatement,en,,,253,,,,,
abaya,en,,,,,,7792,,3619
abbot,en,,,,,,24702,,
abbreviate,en,,,,,,7311,,13466
abduct,en,,,,,,18324,,2457
abducted,en,,,,,,18325,,2470
abduction,en,,,,,,18326,,2462
abductor,en,,,,,,18327,,2467
abet,en,,,,,,1937,,7042
abhor,en,,,,,,13512,,855
abhorrence,en,,,,,,13513,,6707
abide (by),en,,,,,,8915,,12695
abiding,en,,,,,,11671,,1711
ability,en,,,,,,6140,,10158
ablaze,en,,,,,,14207,,18462
able,en,,,,,,6141,,10154
ablution,en,,,,,,15695,,5445
abnormal,en,,,,,,33748,,16900
abominable,en,,,,,,31257 26061,,7326 6739
abominate,en,,,,,,13514,,856
abort,en,,,,,,7042,,17362
abound,en,,,,,,191,,12604
about,en,,,,,,33090 26605,,14273 6534
above,en,,,,,,11164,,17961
above-ground,en,,,,,,19548,,13962
abrade,en,,,,,,13405,,11185
abroad,en,,,,,,17938,,
abscond (with),en,,,,,,32861,,18482
absence,en,,,,,,32589 26228,,16943 16944
absent,en,,,,,,32590,,17363
absent-minded,en,,,,,,21777,,372
absolutely,en,,,,,,9977,,
absorb,en,,,1306,,,29227,,14844
absorbed,en,,,,,,21861,,14905
absorbing,en,,,,,,31258 21882,,14924 6485
absorption,en,,,1307,,,,,
abstain,en,,,,,,14991,,11475
abstention,en,,,,,,14992,,11476
abstinence,en,,,,,,14993,,11477
abstract,en,,,,,,32862,,15615
abstraction,en,,,,,,32863,,17262
absurd,en,,,,,,21778,,373
absurdity,en,,,,,,21779,,374
abundance,en,,,0,,,26797,,3333
abundant,en,,,1,,,192,,12603
abuse,en,,,,,,209 208,,7931 7932
abusive,en,,,,,,210,,7934
abustle,en,,,,,,18948,,14156
abut,en,,,,,,731,,17827
abuzz,en,,,,,,18949,,14151
academic,en,,,,,,24703 11896,,
academician,en,,,,,,24704,,
açaí,en,,,,,,17270,,
açaí shop,en,,,,,,11000,,
acarajé,en,,,,,,14658,,
accede,en,,,,,,28957,,12579
accelerate,en,,,254 384,,,,,
