global _id,id,frame,frame_elements,definition,link,lus
1 688,0,Event_in_history,Event Domain Manner Place Time,This frames picks out the individual events that collectively make-up the whole of the line of history.,,
997,1,Money,Money Creator Material Name Origin Possessor Time_of_creation Type Use,"Money is a medium used for exchanging goods and services. It is in most cases issued by a government (its Creator) in the form of coins and banknotes. Particular amounts of it may have a designated or planned Use, or may have come from some Origin.  The money for our daughter's college education is currently earning interest in a savings account.  The entire project ended up being funded with Swiss funds.  The use of paper money really caught on in Europe in the 1700s",,"pengpengar.n, guldmynt.n, mynt.n, hundralapp.n, valuta.n, krona.n, pengpengarreda pengar:38.n, mark.n, euro.n, slantför hela slanten:13.n"
1 056,2,Others_situation_as_stimulus,Experiencer Other Situation Degree Manner Parameter Time Reason Circumstances Frequency,An Experiencer feels an emotion as evoked as an Other.  One might pity the frail old man in East Berlin.  She appealed for compassion for sufferers.  I feel for women who also long to have children but can't.,,sympatisera.v
1 590,3,Vehicle_landing,Goal Vehicle Circumstances Cotheme Degree Depictive Event_description Frequency Goal_conditions Manner Means Mode_of_transportation Path Period_of_iterations Place Purpose Re_encoding Source Time,,,"landa.v, krascha.v"
1 588,4,Vehicle_departure_initial_stage,Source Vehicle Circumstances Co_participant Depictive Duration_of_final_state Explanation Intended_goal Manner Means Place Result Time,,,lyfta.v
1 587,5,Vehicle,Vehicle Descriptor Itinerary Means_of_propulsion Possessor Use,The frame concerns the vehicles that human beings use for the purpose of transportation.,,"bil.n, båt.n, fartyg.n, buss.n, tåg.n, pråm.n, bogserbåt.n, fiskebåt.n, jeep.n, skepp.n, lastbil.n, vagn.n, lokaltåg.n, cykel.n, rymdfärja.n, plan.n, barnvagn.n, segelbåt.n, färja.n, polisbil.n, motorcykel.n, flyg.n, rymdfarkost.n, tankbil.n, spårvagn.n, ubåt.n, fordon.n, sportbil.n, brandbil.n"
1 585,6,Using_resource,Agent Means Portion Purpose Resource Manner Place Time,,,"nyttja.v, utnyttja.v"
1 594,7,Version_sequence,Item Degree,"An entity goes through several versions, from initial to final.",,
1 593,8,Verification,Inspector Medium Unconfirmed_content Condition Degree Descriptor Epistemic_stance Explanation Instrument Manner Means Place Purpose Time,"An Inspector attains a degree of certainty in the Unconfirmed_content, generally by inspecting some evidence.",,"identifiera.v, intyga.v"
1 592,9,Verdict,Case Charges Defendant Finding Judge Circumstances Legal_Basis Manner Means Place Purpose Reason Time,"In this frame, which is a part of the Trial sequence, a Judge gives a Finding with respect to the Charges against the Defendant in a particular Case.",,"oskyldig.a, fria.v"
1 591,10,Vehicle_subpart,Part Whole Descriptor Function Orientation,,,"motor.n, däck.n, skrov.n, bildäck.n, slag.n, bensinmotor.n, förarhytt.n, sommardäck.n, mede.n, framsäte.n, köl.n"
1 597,11,Visit_host,Host Host_location Visitor Normal_location Purpose,"A Visitor matches location with a Host by going to a place strongly associated with a Host, the Host_location (often a place of residence, employment, or government), in order to achieve a Purpose. The Host allows the use of his/her resources. The visit is often social in nature.",,
1 596,12,Violence,Aggressor Aggressors Cause Victim Circumstances Containing_event Degree Explanation Frequency Instrument Iterationas Manner Means Place Purpose Reason Time,,,"våld.n, aggression.n"
753,13,Have_as_translation_equivalent,Content Source_representation Source_symbol Target_representation Target_symbol Circumstances Equivalence Medium Time,"A Source_symbol in a Source_representation system is presented to be matched by a Target_symbol in a Target_representation in the ability to express a particular Content.  A palintonon or palintone translates as ""V-spring"" and euthytonon or euthytone translates as ""straight-spring"" from Greek.  It can be confusing if one word translates into several in Spanish, which don't have the same gender.  Therefore, this word translates as ""a male"".  Perak translates as ""silver"" in the Malay language.   Sentences such as the following are actually to be handled in the Be_translation_equivalent frame, which has the reverse point of view from the current frame. We have just seen how each Bible program makes it easy to get a definition of the Greek or Hebrew word which a given English word translates.  The difference is essentially between whether both speaker and addressee in the context where the word is used are starting with the Target_symbol in mind. When they are, the symbols are being compared for how they correspond and Be_translation_equivalent can be used. Otherwise, generally where the information conveyed by the predication is what the Target_symbol is, Have_as_translation_equivalent is used.",,
752,14,Have_as_requirement,Dependent Required_entity Requirement Condition Degree Domain Explanation Place Required_individual Time,The obtaining of a Requirement state of affairs or the presence of a Required_entity is profiled as a prerequisite for the obtaining or occurring of a Dependent state-of-affairs.  This game demands great skill.  The war on terror requires little sacrifice for most Americans.  Glass art demands great patience from the student.,,"fordrafordras.v, krav.n"
591,15,Evading,Capture Evader Pursuer Area Circumstances Degree Depictive Manner Means Mode_of_transportation Path Purpose Reason Speed Time,"An Evader moves under its own power to thereby avoid Capture or contact with a Pursuer, also generally moving under its own power. This frame characterizes a more specific event than Avoiding in that both the Evader and the Pursuer are moving entities. In addition, this frame differs from Escaping by requiring a Pursuer and being neutral about the prior captivity of the Evader.",,slippa.v
754,16,Have_associated,Entity Topical_entity Cause Circumstances Concessive Depictive Duration Period_of_iterations Point_of_view Time,"A Topical_entity has properties which are affected by the existence and association of an Entity.  By the 1920s a characteristic book had black and white photographic illustrations only .  Their schools had an improved and more balanced curriculum .  With dual citizenship , Stephen now had two presidents he hated .",,
1 598,17,Visit_host_arrival,Host Host_location Visitor Manner Means Mode_of_transportation Normal_location Path Place Purpose Time,The Visitor arrives at the Host_location to visit the Host.,,
1 516,18,Timespan,Duration State Descriptor Whole,"The words in this frame describe a period of time, as opposed to a point in time.  The best time of year for planting tends to be fairly regular. ",,"morgondag.n, period.n"
692,19,Freeing_from_confinement,Agent Location_of_confinement Theme Circumstances Concessive Manner Means Place Purpose Reason Time,,,
1 513,20,Time_period_of_action,Agent Duration Enabled_action Whole,LUs in this frame denote a period of time in which an Enabled_action becomes possible. The Duration of this time period can be both exact and inexact. An Agent who performs the Enabled_action may be mentioned as well. Allow a three-day window for delivery. DNI,,
1 512,21,Thwarting,Action Preventing_cause Protagonist Degree Explanation Manner Frequency Place Time,"In this frame a Preventing_cause interferes with the ability of a Protagonist to complete an intended Action. The Protagonist may not be mentioned in the sentence, in which case the Action is an endeavor that an individual or group of individuals hopes to accomplish. In this frame it is necessary that the Protagonist is unable to successfully complete the Action.    Noriega's troops foiled a coup attempt.    He prevented her from running away.    He was foiled in his attempt to overthrow the government. ",,"förhindra.v, hindra.v, hejda.v"
1 521,22,Touring,Attraction Tourist Co_participant Depictive Duration Ground Manner Means Particular_iteration Place Purpose Time,"A Tourist experiences an Attraction, a location with a unique history or other societally recognized individual character, with the goal of seeing and learning about it. Typically, the Attraction has a source of information about the Attraction--a guide, pamphlets, or displays.  ",,"turism.n, turist.n"
1 520,23,Topic,Communicator Text Topic Degree Explanation Manner Status Time,A stretch of linguistic discourse or a Text that a Communicator produces has a Topic that it is about.  Chapter 5 discusses the issue of transubstantiation. Smither's essay is about plane spotting.  Ostrovsky addresses monetary policy in Chapter 5. This book is mostly about particle physics.,,"gälla.v, behandling.n, beträffavad beträffar:1.v, tema.n, beträffa.v, handla.v, vidkommandeför vidkommande:26.n, beträffavad beträffar:4.v, beröra.v"
1 519,24,Tool_purpose,Purpose Tool Domain Type,,,
690,25,Forming_relationships,Partner_1 Partner_2 Partners Circumstances Depictive Duration_of_final_state Epistemic_stance Explanation Frequency Iteration Manner Means Place Purpose Time,Partner_1 interacts with Partner_2 (also collectively expressible as Partners) to change their social relationship.   I befriended the little pony by giving him a piece of apple.,,"äktenskap.n, förlova sig.v, förlovning.n, vigsel.n"
1 541,26,Transfer,Donor Recipient Theme Transferors Manner Means Place Purpose Reason Time,This frame involves a Donor transferring a Theme to a Recipient.,,överföra.v
1 540,27,Trajector-Landmark,Landmark Trajector,"Basic Image Schema: contains a (more) profiled element, the Trajector, and an un- or less profiled element, the Landmark. In combination with a schematically-defined Profiled_region (with a pre-defined relationship to the Landmark), the Landmark serves as the basis for understanding the status or location of the Trajector.   This schema essentially establishes a point-of-view or focus. above.prep and below.prep both make use of the verticality schema, but are differentiated by whether the Landmark is associated with the upper region and the Profiled_region with the lower or vice-versa.  The cat in the shed purred violently . The shed around the cat shook . We 'll have to leave before noon . In the 1990s , though , the rate at which DNA could be read revved into high gear . ",,
1 537,28,Toxic_substance,Toxic_substance Toxin_source Victim Body_part Circumstances Degree Duration Reason Type,"A Toxic_substance causes death or harm when introduced into or absorbed by a living organism, the Victim. The Toxic_substance may be specified to be produced by or contained in a Toxin_source. The Toxic_substance may affect the Victim as a whole or a particular Body_part (understood here to include organs and other sub-systems). A Degree of harmfulness can be specified and the Toxic_substance may develop its effect only under particular Circumstances.  The main product , sulphide , is toxic to cells   They are better tolerated and are less toxic in overdose  The reason he was close to danger was because an extremely poisonous beetle was crawling down his shoulder.  Ingested gliadin and PT-gliadin are toxic to coeliac patients.",,
1 599,29,Visit_host_departure,Host Host_location Visitor Distance Goal Manner Means Mode_of_transportation Path Place Purpose Speed Time,A Visitor departs from a Host_location after having visited a Host.,,
697,30,Frugality,Behavior Resource Resource_controller Degree Judge,The words of this frame describe how a Resource_controller spends money or other Resources for a particular purpose . They can be applied to the Resource_controller or to their Behavior in particular instances. These words indicate a judgment of how conservatively the Resource_controller guards their Resource.  Margeret has always been penny-wise. Bill squanders his money. To spend the surplus now would be needlessly profligate .,,"anspråkslös.a, slösa.v, noga.a, hushålla.v, enkel.a, slöseri.n"
699,31,Fullness,Container Contents Degree Duration Frequency Time,"A Container is in a state of fullness/emptiness with respect to some Contents. Note the connection between words in this frame and those in the Containers, Emptying, and Filling frames. John carried a bucket full of water.",,"tom.a, full.adv, full.a, fullfullt ut.adv, tom.adv, fullfullt hus.a"
1 488,32,Temporal_collocation,Landmark_entity Landmark_event Landmark_period Trajector_entity Trajector_event Trajector_period Event_description,"A Trajector is identified as occurring at the same time as some better-known Landmark. We consider sequenced calendric units (e.g. Tuesday, 1987, January) as periods for the purposes of this frame. Some lexical items allow certain types of frame elements while disallowing others (e.g. *During Tuesday...).  Several words of this frame (e.g. now.adv) have deictic incorporation of the Landmark_period.  He tried to take care of that on his last visit . I especially like brunch on Sunday. Dinosaurs lived in prehistoric eras.  He did it then.",,"då.adv, nu.adv, modern.a, nyss.adv, färsk.a, numer.adv, färsk.adv, dådå och då.adv, dådå och då:1.adv, nutid.n, numera.adv, forntida.a, nutida.a, världen gång i världen:3.n, medeltida.a, dåtid.n"
1 487,33,Temperature,Attribute Degree Entity Temperature Circumstances Subregion Time,"An Entity has a Temperature characterized by the target. The Temperature is a value of the temperature Attribute.  The pan is already too hot to touch.  The walk-in was freezing, but it was better than hanging out in the kitchen.  Note that in this frame, the Entity does not experience the temperature, but is merely described as being in a certain externally verifiable state.  Thus Open a window; I'm too hot. is not in frame but rather in Subjective_temperature. ",,"kall.a, ljum.a, medeltemperatur.n, kokpunkt.n, hetgå hett till:2.adv, varm.a, iskall.a, sval.a, het.a"
1 486,34,Telling,Addressee Medium Message Speaker Topic Descriptor Epistemic_stance Iteration Manner Means Place Time,"A Speaker addresses an Addressee with a Message, which may be indirectly referred to as a Topic.",,"berätta.v, anmäla.v, framställa.v, annonsera.v, meddela.v, trygga.v, berättelse.n, anmälananmälning.n, framställning.n, meddelande.n, föredra.v, informera.v, anmälaanmäla sig.v, kommuniké.n, besked.n, tillkännage.v"
667,35,Finish_game,Game Player Manner Means Time,"A Player finishes a Game, possibly with an outcome of winning or losing. A Game is an activity that is considered recreational, and is valued for associated pleasure, as well as social interaction, material reward, or status. Not all games can be won or lost. Those that are specifically competitions are defined in the inheriting frame Finish_competition. In some LUs, the Game is DNI.   John won the lottery!   John lost.  ",,
1 493,36,Temporary_stay,Duration Guest Host Location Co-guest Containing_event Descriptor Explanation Frequency Iterations Manner Means Place Purpose Time,"A Guest stays for a time at a Location, which is not his or her permanent residence, for some Duration. The Location is often the permanent residence of a Host.  I usually stay with my aunt at her summer house when I go to Seville.  For a few days my father lodged at a hotel with a buddy who was a biology student.",,"befinnabefinna sig.v, vistas.v"
1 492,37,Temporary_leave,Activity Duration Person Depictive Frequency Location Purpose Reason Time Type,,,"semester.n, lov.n"
1 490,38,Temporal_subregion,Sub_part Time_period Degree Sub_part_property Time,"A Sub_part of a Time_period is picked out. In some cases, the part (as opposed to the entire Time_period) may be described by a Sub_part_property. The Time_period may be indicated by an event which takes place during the Time_period.  I nearly kicked my TV this afternoon after watching the shambolic end of the Austrian Grand-Prix . Jack Yan looks at how the branding profession will be affected in the early 2000s by globalization . ",,"sluttill slut:1.n, börjantill en början:4.n, sen.a, mitt.adv, början.n, mellersta.a, sen.adv, börjantill en början:7.n, sensenare.adv, senför sent:6.adv, börjanfrån början:11.n, börjantill en början:11.n, slut.n, sluttill slut:2.n, sluttill slut:17.n, börjanfrån början:4.n"
1 489,39,Temporal_pattern,Pattern Process Subevent Descriptor Type,A salient Subevent has a Pattern of recurrence within a larger Process.    Tony's fingers tapped rhythmically on the keyboard,,"takti takt:1i takt med:1.n, takti takt:11i takt med:11.n, takt.n, takti takt:6i takt med:6.n"
1 498,40,Text_creation,Author Text Addressee Components Depictive Form Instrument Manner Means Place Purpose Time Beneficiary Explanation Medium,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech, that contains meaningful linguistic tokens, and may have a particular Addressee in mind. The Text may include information about its topic, although the latter is not an FE in this frame.  I penned a letter concerning racism to Congress. The brothers said not two words to each other. Jot any notes you need below the line in red pen only.",,"skriva.v, skrivning.n, blogga.v, replik.n, gästblogga.v, skrivaskriva ut.v"
682,41,Food,Food Constituent_parts Descriptor Type,"This frame contains words referring to items of food.  Specialties include deep fried shredded beef , duck , prawn dishes and hand-made noodles.",,"ägg.n, tapas.n, öl.n, drink.n, maräng.n, tomat.n, sås.n, salt.n, maträtt.n, kaffe.n, mat.n, lök.n, pumpernickel.n, ingefära.n, biff.n, bär.n, kost.n, peppar.n, deg.n, sushi.n, pastej.n, pasta.n, sockerkaka.n, omelett.n, schalottenlök.n, vitlök.n, kaka.n, kött.n, rätt.n, chokladkaka.n, bulle.n, dryck.n, köttgryta.n, ost.n, mynta.n, kål.n, livsmedel.n, mjölk.n, grädde.n, saft.n, jordgubbe.n, gröt.n, enbär.n, frukt.n, apelsin.n, oxfilé.n, gryta.n, smör.n, vinäger.n, kapris.n, soppa.n, våffla.n, socker.n, endiv.n, falafel.n, snabbmat.n, godis.n, läsk.n, cola.n, chips.n, margarin.n, bröd.n, äpple.n, korv.n, julbord.n, grönsakgrönsaker.n, müsli.n, pepparrot.n, räkmacka.n, majonnäs.n, glass.n, couscous.n, filé.n, persilja.n, chili.n, rödbeta.n, spagetti.n"
1 496,42,Terrorism,Act Terrorist Victim Descriptor Instrument Manner Means Organization Place Purpose Time,"A Terrorist commits a violent or otherwise harmful Act upon a Victimin order to coerce or terrorize a government or populace. The Act may be committed in particular for political or ideological reasons, and is often directed at civilians, as opposed to government or military officials. It is most often in violation of one or many laws.",,terrorism.n
1 495,43,Terms_of_agreement,Agreement Desired_state_of_affairs Party Regulated_entity Requirements Descriptor,"A condition that is set out in an Agreement imposes Requirements on a Party or parties, with respect to some Regulated_entity. If the conditions are not met, the Agreement as a whole ceases to be valid or, more specifically, a Desired_state_of_affairs cannot occur. (The Desired_state_of_affairs typically is an interaction between the parties that benefits one or both sides.)   Breach of contract occurs where one of the parties fails to perform any one of the contract terms . Breach of contract occurs where one of the parties fails to perform any one of the contract terms .  What are your conditions for a peaceful settlement?  Please read our Conditions of Sale carefully Please read our Conditions of Sale carefully  We will verify compliance with the financial terms of the contract. We will verify compliance with the financial terms of the contract.  The Engineering Division has violated the seniority provision of the collective bargaining agreement. The Engineering Division has violated the seniority provision of the collective bargaining agreement.",,villkor.n
1 511,44,Thriving,Entity Circumstances Duration Explanation Frequency Particular_iteration Place Role Time,"An Entity is in a state such that it participates in a preponderance of states and events which are desirable for it. For living entities, this may entail a proliferation of instances of the entity, or of desirable properties associated with the (single) entity. For non-living entities (economies, political locales, academic topics, etc.), this entails a proliferation of instances, or of activities that lead to instances, or any attribute that would prevent the entity from disappearing. This state is conceived of as temporary, or at least contingent on a number of changeable factors. Words expressing the opposite state, i.e., a lack of such positive activity, are also in this frame.  In the 1920s the peach industry flourished in Upson County.  Construction companies thrive on public projects.",,
1 504,45,Thermodynamic_phase,Matter Phase,,,
1 503,46,Theft,Goods Perpetrator Source Victim Frequency Instrument Manner Means Place Purpose Reason Time,These are words describing situations in which a Perpetrator takes Goods from a Victim or a Source. The Means by which this is accomplished may also be expressed.  I can't believe he pickpocketed my gold watch ! I had to pilfer from the office just to get by . INI Snatching purses from little old ladies is not a living . CNI,,"snattare.n, tjuv.n, stöld.n, stjäla.v, sno.v, röva.v"
1 689,47,Text_scenario,Communicator Text Topic Degree Manner Status Time,,,
1 575,48,Undergoing,Entity Event Circumstances Explanation Manner Place Purpose Reason Time,An Entity is affected by an Event.,,
1 572,49,Undergo_change,Entity Final_category Initial_category Attribute Final_value Initial_value Value_range Cause Circumstances Degree Frequency Intermediate_value Manner Period_of_iterations Time,"An Entity changes, either in its category membership or in terms of the value of an Attribute. In the former case, an Initial_category and a Final_category may be expressed, in the latter case an Initial_value and a Final_value can be specified.    As soon as Tiffany kissed the frog, Tiffany turned into a frog.   He chanted and the rock changed shape, becoming a great double bitted axe.  The College has changed markedly over the century since it first opened its doors.  If I'm understanding you correctly, you want the switchbar color to change whenever the bot says something?  My life instantly changed from an empty life, to a life full of joy and purpose.  As you can see, the word WALK changed from red to green rather than have a separate lens for each colour.  My feet turned to stone.  The promise will turn to ashes if progress is not made.  The price changed from $1.26 to $1.27 per pint. DNI  At least one relative instruction has changed in size from short to long",,
1 571,50,Unattributed_information,Reported_fact Duration Explanation Time,A Reported_fact is presented by the speaker as deriving from statements (made directly to them or to others) of third parties.,,"rykte.n, lärlära.v, lärläralära känna.v, lärläralära sig.v"
1 570,51,Typicality,Feature State_of_affairs Comparison_set Degree,"An Entity is generally, or with regard to a particular Feature, representative of the Comparison_set of which it is a member.   The Elan truly is an unusual car; the first and only Lotus with a front engined/front wheel drive layout, and the first new Lotus to be introduced since 1975.   I need a plain, vanilla example that doesn't use PRINT!   How smart is the average drug user/experimenter?   It's not unusual to be loved by anyone, It's not unusual to have fun with anyone,  Is lying normal for a child this age, and how can I best handle this situation?",,"vanlig.a, normal.adv, konventionell.a, unik.a, allmän.adv, allmän.a, vanlig.adv, ovanlig.a, ovanlig.adv, osedvanlig.adv, normal.a, sällsynt.a"
1 581,52,Use_vehicle,Area Driver Goal Path Source Theme Vehicle Cotheme Distance Duration Manner Road Route Speed Time,A Driver transports themselves and possibly other passengers (the Theme) to another location.,,
1 580,53,Use_firearm,Agent Firearm Area Depictive Goal Iteration Manner Means Path Place Purpose Source Time,"An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal. The Germans wouldn't stop shooting cannons at them. Oswald fired twice through the window.",,eldskur.n
1 578,54,Unemployment_rate,Degree Employment Individuals Value Group Place Time,"Based on how many Individuals are employed, the Individuals as a whole are described with a Value (either a percentage or absolute number) representing the Employment of the Individuals.  Unemployment is down, salaries are up for US chemists.  As a result, the unemployment of Roma is very high.  Today's report finds that unemployment among single mothers rose for the first time in six years in 2002. DNI  In the 1950s and '60s, joblessness of 6 to 7 percent was intense, but now an unemployment rate of below 6 percent could be inflationary. DNI.   The economy was operating at full capacity, traditionally defined as employment of 96 percent of the civilian labor force. DNI  ",,arbetslöshet.n
1 577,55,Undressing,Clothing Wearer Body_location Circumstances Degree Explanation Manner Means Place Purpose Result Time,A Wearer removes an item of Clothing from a Body_location (the part of the body that the Clothing is prototypically worn on.)  Walking on sand is better if you take off your shoes. INI,,
1 584,56,Using,Agent Instrument Purpose Role Circumstances Containing_event Degree Depictive Duration Explanation Frequency Group Manner Means Outcome Period_of_iterations Place Time,An Agent manipulates an Instrument in order to achieve a Purpose.,,"använda.v, bruka.v, användning.n, bruki bruk:7.n, tillämpa.v"
1 583,57,Usefulness,Entity Purpose Degree Domain Time,"An Entity aids in the successful completion of a Purpose. Its Degree of utility may also be expressed. Some of the lexical units in this frame (e.g. great, good) can only express permanent, generic states of the Entity.",,"bragå bra:6.adv, bragod.adv, bra.adv, effektiv.a, brabästgod.adv, hyfsad.adv, idealisk.a, bragå bra:5.adv, effektiv.adv, bragå bra:8.adv, grym.a, bragå bra:12.adv, bragå bra:2.adv"
1 582,58,Used_up,Resource Degree Excess Explanation Subregion,"Through use, a Resource is diminished in quality or quantity (up to complete attrition) such that it becomes less capable of sustaining future use.   My entire life savings is depleted due to university and medical bills.  All significant oil and gas reserves are exhausted or have dwindled to an uneconomical level except for those of the Middle East.  Use shampoo and conditioner every day until the shampoo and conditioner are completely used up.",,
