id,FrameName,EnglishLexicalUnits,FrenchLexicalUnits,ArabicLexicalUnits,FrameElements,Link,Definition,LinkToBFN,MatchEvaluation,FrameRelation
,Access_scenario,,,,Agent Location Destination,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Access_scenario,Agent (user or system) connects to Location (network or system) to reach to Destination(information or data),?,NoMatch,"Access_scenario :Is perspectivized in: Having_or_lacking_access
Access_scenario :Has subframe: Having_access_to"
,Activity_resume,"restart.1b
","redémarrer.1b,
redémarrage.1b",إعادة-تشغيل.1b,Patient Agent,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Activity_resume,"Agent (user) resumes activity of Patient (program, system or computer)",Activity_resume,WeakMatch,"Activity_resume :Inherits from: Change_operational_state
Activity_resume :Is preceded by: Activity_start"
,Activity_scenario,,,,Agent Patient Environment1 Environment2,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Activity_scenario,Agent (user) or Instrument (système or computer) runs a Patient (operation).,?,NoMatch,"Activity_scenario :Has subframe: Activity_start
Activity_scenario :Has subframe: Activity_resume
Activity_scenario :Is used by: Being_in_operation
Activity_scenario :Is used by: Being_off_operation
Activity_scenario :Has subframe: Process_start
Activity_scenario :Is inherited by: Process_resume"
,Activity_start,"execute.2b,
run.2b","exécuter.2b,
exécution.2b","نفذ.1,
تنفيذ.1,
تشغيل.2b,
شغل.1",Agent Patient ,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Activity_start,Agent (user or system) causes Patient (task) to be carried out.,Activity_start,WeakMatch,"Activity_start
Activity_start :Is inherited by: Intentionally_create
Activity_start :Is inherited by: Choosing
Activity_start :Is inherited by: Name_conferral
Activity_start :Precedes: Activity_resume"
,Arranging,configure.1,"configurer.1,
configuration.1",,Agent Patient ,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Arranging,Agent (user) arranges Patient (software or hardware component) in a certain way for it to work according to his preferences.,Arranging,TooSpecific,
,Attaching,connect.2,"connecter.2,
connexion.2.1",توصيل.2.1,Agent Patient Destination,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Attaching,Agent (user) puts together Patient (hardware) to Destination (computer),Attaching,TooSpecific,Attaching :Inherits from: Attaching
,Being_in_operation,start.1a,"démarrer.1a,
démarrage.1a","أقلع.1a,
إقلاع.1a
",Patient,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Being_in_operation,Patient (system) starts to function,Being_in_operation,TooSpecific,Being_in_operation :Is opposed to: Being_off_operation
,Being_off_operation,,,توقف.1,Patient,https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Being_off_operation,Patient (système) ceases to function due to a problem.,?,NoMatch,Being_off_operation :Is opposed to: Being_in_operation
,Cause_change,"conversion.1,
convert.1,
format.2,
encode.1","convertir.1,
encoder.1,
conversion.1,
formater.2",تحويل.1,"Agent
Patient
Result",https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Cause_change,Agent (user or program) transforms the format of Patient (data) into a different Result (format).,Cause_change,TooSpecific,"Cause_change :Is inherited by: Cause_modification
Cause_change :Is used by: Reforming"
,Cause_impact,"click.1,
press.1","cliquer.1,
appuyer.1,
appui.1","نقر.1,
ضغط.1,
نقر.1,
ضغط.1","Agent
Patient
Instrument",https://olst.ling.umontreal.ca/dicoinfo/framed/?q=Cause_impact,Agent (user) activates Patient (file or icon) with Instrument (mouse) in order to execute a task,Cause_impact,TooSpecific,
