id,frame,lus,fe,definition,связь с BFN,link,MatchEvaluation
407,Abbrechen_von,"[('abbrechen', 'V'), ('abplatzen', 'V'), ('springen', 'V')]","['Ganzes', 'Teil']",Ein einzelnes  FE:TeilTeil bricht von einem  FE:GanzesGanzen ab.,Breaking_off,https://framenet-constructicon.hhu.de/framenet/frame?id=407,ExactMatch
230,Abfangen,"[('abfangen', 'V')]","['Abfänger', 'Objekt']","Ein willentlich handelnder  FE:AbfängerAbfänger fängt, ohne vom Absender oder Empfänger dazu autorisiert worden zu sein, ein  FE:ObjektObjekt ab, das von einem Absender zu einem Empfänger unterwegs ist. Der  FE:AbfängerAbfänger (oder jemand, in dessen Namen er handelt) glaubt, dass das  FE:ObjektObjekt, das den Empfänger erreicht, nicht in seinem Interesse wäre. Das  FE:ObjektObjekt kann eine physische Sache sein, die übermittelt wird, eine sich selbst bewegende Entität oder Informationen, die übertragen werden.",Intercepting,https://framenet-constructicon.hhu.de/framenet/frame?id=230,ExactMatch
772,Abfeuerungsort,"[('Zündungspunkt', 'N')]",['Auslöseort'],Ein  FE:AuslösenderAuslösender aktiviert von einem Abfeuerungsort aus einen entfernt gelegenen Sprengkörper.,Firing_point,https://framenet-constructicon.hhu.de/framenet/frame?id=772,ExactMatch
1055,Abgelegene_Orte,[],['Ort'],"Ein  FE:OrtOrt liegt fernab von Bevölkerungs-, Kultur- und/oder Handelszentren.",Isolated_places,https://framenet-constructicon.hhu.de/framenet/frame?id=1055,ExactMatch
744,Abgeriegelte_Örtlichkeit,"[('schließen', 'V'), ('zu', 'ADV'), ('zumachen', 'V')]",['Örtlichkeit'],"Ein Gebäude oder (auch metaphorischer) Raum, die  FE:ÖrtlichkeitÖrtlichkeit, ist geschlossen und steht somit nicht für einen  FE:Potenzieller_NutzerPotenziellen_Nutzer zur Verfügung.",Locale_closure,https://framenet-constructicon.hhu.de/framenet/frame?id=744,ExactMatch
186,Abgetrennt_sein,"[('abgetrennt', 'ADJ'), ('getrennt', 'ADJ'), ('losgemacht', 'ADJ'), ('ungebunden', 'ADJ')]","['Element', 'Elemente', 'Quelle']","Ein  FE:ElementElement ist von einer  FE:QuelleQuelle getrennt, oder  FE:ElementeElemente sind voneinander getrennt.",Being_detached,https://framenet-constructicon.hhu.de/framenet/frame?id=186,ExactMatch
928,Ableger,"[('Ableger', 'N')]",['Zweigstelle'],"Dieser Frame bezieht sich auf eine  FE:ZweigstelleZweigstelle einer Institution, eines Bereiches oder einer Gruppe, die von der  FE:Ursprüngliche_EntitätUrsprünglichen_Entität getrennt wird. Diese  FE:ZweigstelleZweigstelle ist in der Regel teilweise oder sogar völlig autonom und kann schließlich größer werden als die  FE:Ursprüngliche_EntitätUrsprüngliche_Entität aus der sie stammt.",Offshoot,https://framenet-constructicon.hhu.de/framenet/frame?id=928,ExactMatch
2033,Ablenkung_Bildschema,[],"['Kraftausübende_Entität_1', 'Kraftausübende_Entität_2', 'Weg_1', 'Weg_2', 'Ziel_1', 'Ziel_2']","Wenn eine  FE:Kraftausübende_Entität_1Kraftausübende_Entität_1 (in der Skizze A) eine  FE:Kraftausübende_Entität_2Kraftausübende_Entität_2 (B) in ihrer Fortbewegung beeinflusst, kommt die  FE:Kraftausübende_Entität_2Kraftausübende_Entität_2 gezwungenermaßen von ihrem anfänglichen  FE:Weg_1Weg_1 ab. Der neu entstehende  FE:Weg_2Weg_2 führt  FE:Kraftausübende_Entität_2Kraftausübende_Entität_2 an ein  FE:Ziel_2Ziel_2, das sich von ihrem eigentlichen  FE:Ziel_1Ziel_1 unterscheidet.",,https://framenet-constructicon.hhu.de/framenet/frame?id=2033,
920,Abschwächung_ausdrücken,[],['Mildernde_Situation'],"Eine  FE:Mildernde_SituationMildernde_Situation wird vor dem Hintergrund einer präferierteren Situation und einer weniger präferierten Situation dargestellt, die, obwohl sie erwartet, gefürchtet oder erhofft wird, nicht eintrat oder nicht eintreten wird; die  FE:Mildernde_SituationMildernde_Situation ist also gewissermaßen zwischen einer besseren und einer schlechteren Situation zu verorten, die beide im Diskurs relevant sind. Das Verständnis der  FE:Mildernde_SituationMildernden_Situation hängt daher stark vom Verständnis der besseren und der schlechteren Situation ab, von denen die eine oder die andere oder beide normalerweise bereits erwähnt oder stark in den Diskurs eingebracht wurden. Die Beziehung der  FE:Mildernde_SituationMildernden_Situation zu diesen Situationen kann durch Inferenz auf Diskursebene, wie im ersten Beispiel unten, oder durch kontrastierende Intonation, wie im zweiten Beispiel, impliziert werden.",Presentation_of_mitigation,https://framenet-constructicon.hhu.de/framenet/frame?id=920,ExactMatch
312,Absichtliches_Durchqueren_und_Überqueren,"[('besteigen', 'V'), ('durchqueren', 'V'), ('setzen', 'V'), ('überqueren', 'V')]","['Quelle', 'Richtung', 'Selbstständig_Bewegender', 'Weg', 'Wegform', 'Ziel']","Ein  FE:Selbstständig_BewegenderSelbstständig_Bewegender bewegt sich absichtlich auf einem  FE:WegWeg in eine  FE:RichtungRichtung und relativ zu einer Landmarke, die weder die  FE:QuelleQuelle noch das  FE:ZielZiel der Gesamtbewegung darstellt. Die Form oder Konfiguration des  FE:WegWeges kann durch eine  FE:WegformWegform ausgedrückt werden.",Intentional_traversing,https://framenet-constructicon.hhu.de/framenet/frame?id=312,ExactMatch
